"market_id","gu","gu_code","name","submarkets_draft","core_stations","core_streets_nodes","market_type_labels","market_type_codes","core_consumers_hypothesis","bakery_priority","boundary_type","boundary_confidence","numeric_data_status","field_survey_required","checked_at"
"SEOUL-JONGNO-GWANGHWAMUN-JONGNO","종로구","JONGNO","광화문·종로권","광화문광장·청진동·종각·청계천 북측","광화문·종각","세종대로·종로·청계천로","대형 오피스형|관광형|환승거점형","OFFICE_LARGE|TOURISM|TRANSIT","직장인·공공기관 방문객·관광객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JONGNO-INSADONG-IKSEON","종로구","JONGNO","인사동·익선권","인사동길·익선동 한옥거리·종로3가 북측","안국·종로3가","인사동길·익선동 골목","관광형|외국인 관광형|골목상권형","TOURISM|FOREIGN|ALLEY","관광객·외국인·데이트 고객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JONGNO-SAMCHEONG-BUKCHON","종로구","JONGNO","삼청·북촌권","북촌한옥마을·삼청동길·안국동","안국","삼청로·북촌로","관광형|외국인 관광형|공원·산책형","TOURISM|FOREIGN|PARK","관광객·외국인·문화 목적 방문객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JONGNO-DAEHANGNO","종로구","JONGNO","대학로권","혜화역·마로니에공원·성균관대 남측","혜화","대학로·동숭길","대학가형|공연문화형|먹자골목형","UNIVERSITY|CULTURE|DINING_CLUSTER","대학생·공연 관람객·청년층","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JONGNO-SEOCHEON-GYEONGBOK","종로구","JONGNO","서촌·경복궁권","경복궁 서측·통인시장·세종마을","경복궁","자하문로·옥인길·통인시장길","관광형|골목상권형|주거생활형","TOURISM|ALLEY|RESIDENTIAL","거주민·관광객·데이트 고객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JONGNO-DONGDAEMUN-CHANGSIN","종로구","JONGNO","동대문·창신권","동대문역·창신동 봉제거리·흥인지문 북측","동대문·동묘앞","종로·창신길","전통시장형|산업형|역세권형","MARKET|INDUSTRIAL|TRANSIT","지역 거주민·관광객·도매 종사자","중","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JONGNO-BUAM-PYEONGCHANG","종로구","JONGNO","부암·평창권","부암동 주민센터·평창동 문화시설축","경복궁(버스 연계)","창의문로·평창문화로","주거생활형|공원·산책형|문화형","RESIDENTIAL|PARK|CULTURE","고소득 거주민·문화 목적 방문객·산책객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNG-MYEONGDONG","중구","JUNG","명동권","명동길·중앙로·을지로입구 남측","명동·을지로입구","명동길·남대문로","외국인 관광형|쇼핑형|대형 상업형","FOREIGN|MALL|COMMERCIAL_LARGE","외국인 관광객·쇼핑객·직장인","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNG-EULJIRO","중구","JUNG","을지로권","을지로3가·세운상가·힙지로 골목","을지로3가·을지로4가","을지로·수표로·세운상가축","트렌드 목적형|산업형|야간형","TREND|INDUSTRIAL|NIGHT","직장인·청년 목적 방문객·제조업 종사자","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNG-NAMDAEMUN","중구","JUNG","남대문권","남대문시장·회현역·숭례문","회현","남대문시장길·퇴계로","전통시장형|관광형|도매형","MARKET|TOURISM|WHOLESALE","상인·관광객·직장인","상","프레임원 분석권역","D","미수집","true","2026-08-26"
